module	contig_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings
M00039	T2_UBT_000000022713	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of phytochemical compounds	"(K10775,K13064) K00487 K01904 K13065 K09754 K00588 K09753 K09755 K13066 (K00083,K22395)"	0.1	False	0.1	False	1.0	K00588	1	K00588	64578	None
M00004	T2_UBT_000000011286	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 K00616 (K01810,K06859,K13810,K15916)"	0.14285714285714285	False	0.25	False	NA	No enzymes unique to module	NA	K00033,K00036	9902,9910	K00036 is present in multiple modules: M00004/M00006/M00008,K00033 is present in multiple modules: M00004/M00006
M00006	T2_UBT_000000011286	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033"	0.5	False	0.6666666666666666	False	NA	No enzymes unique to module	NA	K00033,K00036	9902,9910	K00036 is present in multiple modules: M00004/M00006/M00008,K00033 is present in multiple modules: M00004/M00006
M00005	T2_UBT_000000011286	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00948"	1.0	True	1.0	True	1.0	K00948	1	K00948	9915	None
M00008	T2_UBT_000000011286	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00036 (K01057,K07404) K01690 K01625"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K00036	9910	K00036 is present in multiple modules: M00004/M00006/M00008
M00909	T2_UBT_000000011286	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00845,K25026) (K01810,K13810,K15916) K00820 K03431 K04042"	0.2	False	0.2	False	1.0	K04042	1	K04042	9913	None
M00609	T2_UBT_000000011286	Cysteine biosynthesis, methionine => cysteine	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	"K00789 K17462 K01243 K07173 K17216 K17217"	0.16666666666666666	False	0.16666666666666666	False	NA	No enzymes unique to module	NA	K00789	9863	K00789 is present in multiple modules: M00609/M00034/M00035/M00368/M00953
M00017	T2_UBT_000000011286	Methionine biosynthesis, aspartate => homoserine => methionine	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	"(K00928,K12524,K12525) K00133 (K00003,K12524,K12525) (K00651,K00641) K01739 (K01760,K14155) (K00548,K24042,K00549)"	0.2857142857142857	False	0.2857142857142857	False	1.0	K01739,K01760	1,1	K01739,K01760	9899,9899	None
M00034	T2_UBT_000000011286	Methionine salvage pathway	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	"K00789 K01611 K00797 ((K01243,K01244) K00899,(K00772,K05810)) K08963 (K16054,K08964 (K09880,K08965 K08966)) K08967 (K00815,K08969,K23977,K00832,K00838)"	0.125	False	0.125	False	NA	No enzymes unique to module	NA	K00789	9863	K00789 is present in multiple modules: M00609/M00034/M00035/M00368/M00953
M00035	T2_UBT_000000011286	Methionine degradation	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	"K00789 (K00558,K17398,K17399) K01251 (K01697,K10150)"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K00789	9863	K00789 is present in multiple modules: M00609/M00034/M00035/M00368/M00953
